Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,22uF,C59461 
"C10, C11",0402,2,10pF,C32949 
"C12, C13",0402,2,15pF,C1548 
"C14, C3, C4, C5, C6, C7",0402,6,100nF,C1525 
C8,0402,1,10uF,C15525 
C9,0402,1,1uF,C52923 
FB1,0603,1,120Ω@100MHz,C14709
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,C2765186
"R1, R2",0402,2,5.1k,C25905 
R3,0402,1,1.5k,C25867 
R4,0402,1,0,C17168
R5,0402,1,470,C25117 
"R6, R8",0402,2,10k,C25744 
"SW1, SW2",TS-1088-AR02016-Switch-SMD,2,SW_Push,C720477
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U2,SOT-23-6,1,SRV05-4,C7420376 
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz 9pF,C13738 
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz 12.5pF,C32346 (
