Designator,Mid X,Mid Y,Rotation,Layer
C1,163.95,-90.35,0.0,top
C10,160.2,-107.0,180.0,top
C11,162.8,-104.75,90.0,top
C12,156.92,-105.65,0.0,top
C13,155.07,-105.65,180.0,top
C14,163.8,-111.25,270.0,top
C2,163.51,-79.25,270.0,top
C3,156.1,-90.2,0.0,top
C4,154.2,-99.5,180.0,top
C5,155.2,-100.9,270.0,top
C6,160.2,-101.45,180.0,top
C7,163.6,-92.2,0.0,top
C8,160.2,-102.4,180.0,top
C9,154.2,-100.9,270.0,top
FB1,162.0,-79.0,270.0,top
J1,158.89,-72.645,180.0,top
J2,167.78,-95.81,180.0,top
J3,150.0,-95.81,180.0,top
R1,160.6,-78.4,270.0,top
R2,157.4,-78.4,90.0,top
R3,156.2,-88.1,0.0,top
R4,158.8,-101.9,90.0,top
R5,157.5,-101.9,90.0,top
R6,165.05,-94.55,225.0,top
R8,154.1,-110.85,180.0,top
SW1,155.89,-115.81,90.0,top
SW2,161.89,-115.81,90.0,top
U1,158.89,-95.81,0.0,top
U2,157.1,-84.9,90.0,top
U3,162.4,-85.2,90.0,top
Y1,160.2,-104.75,180.0,top
Y2,156.1,-104.0,180.0,top
